Country,ISO3,Population,ForeignBornPop,ForeignBornPercent,UrbanPercent,Urbanization,Mliteracy,Fliteracy,LiteracyDif,GDP,MedianAge,YUnemployment,PopGrowth
Aruba,ABW,103889,34432,33.14,41.5,-0.28,97.5,97.5,0,26005.4094,39.1,23.2,1.3
Belize,BLZ,359287,,0,44,1.93,70.3,70.3,0,4789.373349,22.4,19.5,1.84
Czech Republic,CZE,10551219,694819,6.59,73,0.35,99,99,0,17561.70854,41.7,19.5,0.14
Dem. People's Republic of Korea,PRK,25155317,,0,60.9,0.75,100,100,0,648.0309794,33.8,,0.53
Estonia,EST,1311998,197364,15.04,67.5,-0.45,99.8,99.8,0,17111.99633,42.4,20.9,-0.54
Kazakhstan,KAZ,17544126,,0,53.2,0.86,99.8,99.8,0,10312.13667,30.3,3.9,1.09
Latvia,LVA,1978440,302050,15.27,67.4,-0.67,99.9,99.9,0,13704.14632,43.3,28.4,-1.07
Lithuania,LTU,2910199,179595,6.17,66.5,-0.53,99.8,99.8,0,14383.66809,43.4,26.4,-1.06
Slovenia,SVN,2063768,169605,8.22,49.6,0.08,99.7,99.7,0,20689.81832,44.1,20.6,-0.29
Argentina,ARG,43416755,1805957,4.16,91.8,1.04,98,98.1,0.1,14564.50127,31.5,18.3,0.93
Armenia,ARM,3017712,197828,6.56,62.7,-0.11,99.7,99.6,0.1,3489.127642,34.6,39.2,-0.18
Azerbaijan,AZE,9651349,254993,2.64,54.6,1.56,99.9,99.8,0.1,5438.711061,30.9,14.2,0.92
Belarus,BLR,9513000,925803,9.73,76.7,0.05,99.8,99.7,0.1,5750.838343,39.8,12.6,-0.21
Costa Rica,CRI,4807850,385899,8.03,76.8,2.74,97.7,97.8,0.1,11014.97882,30.9,18.4,1.19
Cuba,CUB,11389562,15421,0.14,77.1,0.07,99.9,99.8,0.1,7656.630816,41.1,3.1,-0.3
Georgia,GEO,3679000,74434,2.02,53.6,-0.1,99.8,99.7,0.1,3491.436128,38,33.3,-0.05
Hungary,HUN,9844686,383234,3.89,71.2,0.47,99.1,99,0.1,12350.57526,41.8,28.1,-0.24
Palau,PLW,21291,6043,28.38,87.1,1.66,99.5,99.6,0.1,12122.49307,33.3,,0.39
Russian Federation,RUS,144096812,11194710,7.77,74,-0.13,99.7,99.6,0.1,9243.304778,39.3,14.8,-0.06
Swaziland,SWZ,1286970,28219,2.19,21.3,1.32,87.4,87.5,0.1,3211.694433,21.4,,1.1
Tajikistan,TJK,8481855,,0,26.8,2.62,99.8,99.7,0.1,925.9093838,24.2,16.7,1.66
Thailand,THA,67959359,1828405,2.69,50.4,2.97,96.6,96.7,0.1,5814.770034,37.2,2.8,0.32
Tonga,TON,106170,,0,23.7,0.71,99.3,99.4,0.1,3784.484589,22.6,,-0.01
Ukraine,UKR,45198200,17940139,39.69,69.7,-0.33,99.8,99.7,0.1,2021.58459,40.4,17.3,-0.39
Chile,CHL,17948141,195320,1.09,89.5,1.09,97.6,97.4,0.2,13416.23036,34,16.3,0.8
Colombia,COL,48228704,107612,0.22,76.4,1.66,94.6,94.8,0.2,6056.147817,29.6,21.9,1.02
Honduras,HND,8075060,27521,0.34,54.7,3.14,88.4,88.6,0.2,2521.942049,22.6,8,1.64
Kyrgyz Republic,KGZ,5957000,,0,35.7,1.58,99.6,99.4,0.2,1106.379638,26.2,14.6,1.09
Poland,POL,37999494,640500,1.69,60.5,-0.1,99.9,99.7,0.2,12355.45943,40.3,26.5,-0.11
Turkmenistan,TKM,5373502,,0,50,1.94,99.8,99.6,0.2,6996.741983,27.5,,1.13
